,ai,age,risk-taking,iteration,investment_type,name,ticker_symbol,amount_to_invest,asset_type,country,sector
0,ChatGPT,15,averse,0,Blue-Chip Stocks,Coca-Cola,KO,2000,EQUITY,United States,Consumer Defensive
1,ChatGPT,15,averse,0,,Procter & Gamble,PG,2000,EQUITY,United States,Consumer Defensive
2,ChatGPT,15,averse,0,,Johnson & Johnson,JNJ,2000,EQUITY,United States,Healthcare
3,ChatGPT,15,averse,0,Bonds,iShares Core U.S. Aggregate,AGG,2000,ETF,,
4,ChatGPT,15,averse,0,,Vanguard Total Bond Market,BND,1000,ETF,,
5,ChatGPT,15,averse,0,High Dividend ETF,Vanguard High Dividend Yield,VYM,1000,ETF,,
6,ChatGPT,15,averse,1,Bond Fund/ETF,[Vanguard Total Bond Market Index Fund](https://investor.vanguard.com/mutual-funds/profile/VBMFX),VBMFX,4000,MUTUALFUND,,
7,ChatGPT,15,averse,1,Blue-Chip Stock,Apple Inc.,AAPL,2000,EQUITY,United States,Technology
8,ChatGPT,15,averse,1,Blue-Chip Stock,Procter & Gamble Co.,PG,1000,EQUITY,United States,Consumer Defensive
9,ChatGPT,15,averse,1,Blue-Chip Stock,Microsoft Corporation,MSFT,1000,EQUITY,United States,Technology
10,ChatGPT,15,averse,1,Index Fund,[Schwab S&P 500 Index Fund](https://www.schwabfunds.com/products/swppx),SWPPX,2000,MUTUALFUND,,
11,ChatGPT,15,averse,2,ETF (Exchange-Traded Fund),Vanguard S&P 500 ETF,VOO,4000,ETF,,
12,ChatGPT,15,averse,2,Bond Fund,iShares Core U.S. Aggregate Bond ETF,AGG,2500,ETF,,
13,ChatGPT,15,averse,2,Individual Stock (Blue-Chip),Microsoft Corporation,MSFT,2500,EQUITY,United States,Technology
14,ChatGPT,15,averse,2,Savings Account,High-Yield Savings Account,,1000,SAVING,,
15,ChatGPT,15,averse,3,Index Funds,Vanguard S&P 500 ETF,VOO,3000,ETF,,
16,ChatGPT,15,averse,3,Bonds,iShares U.S. Treasury Bond ETF,GOVT,2000,ETF,,
17,ChatGPT,15,averse,3,Dividend Stocks,Procter & Gamble Co.,PG,2500,EQUITY,United States,Consumer Defensive
18,ChatGPT,15,averse,3,Real Estate,REIT ETF (Real Estate Investment Trust),VNQ,1500,ETF,,
19,ChatGPT,15,averse,3,Education Savings,529 Plan,,1000,SAVING,,
20,ChatGPT,15,averse,4,Stocks,Vanguard S&P 500 ETF,VOO,2500,ETF,,
21,ChatGPT,15,averse,4,,Amazon,AMZN,1500,EQUITY,United States,Consumer Cyclical
22,ChatGPT,15,averse,4,Bonds,iShares Core U.S. Aggregate Bond ETF,AGG,2000,ETF,,
23,ChatGPT,15,averse,4,Real Estate,Vanguard Real Estate ETF,VNQ,1500,ETF,,
24,ChatGPT,15,averse,4,,Realty Income Corp,O,1000,EQUITY,United States,Real Estate
25,ChatGPT,15,averse,4,Emerging Markets,iShares MSCI Emerging Markets ETF,EEM,1000,ETF,,
26,ChatGPT,15,averse,5,Exchange-Traded Fund (ETF),Vanguard S&P 500 ETF,VOO,4000,ETF,,
27,ChatGPT,15,averse,5,Bond ETF,iShares Core U.S. Aggregate Bond ETF,AGG,3000,ETF,,
