,ai,age,risk-taking,cond,iteration,investment_type,name,ticker_symbol,amount_to_invest,asset_type,country,sector
0,ChatGPT,15,averse,control,0,Index Fund,Vanguard S&P 500 Index Fund,VOO,3000.0,ETF,,
1,ChatGPT,15,averse,control,0,Bonds,iShares U.S. Treasury Bond ETF,GOVT,2000.0,ETF,,
2,ChatGPT,15,averse,control,0,Dividend Stocks,Johnson & Johnson,JNJ,2000.0,EQUITY,United States,Healthcare
3,ChatGPT,15,averse,control,0,Real Estate Investment Trusts (REITs),Vanguard Real Estate ETF,VNQ,1500.0,ETF,,
4,ChatGPT,15,averse,control,0,High-Yield Savings Account,-,,1500.0,SAVING,,
5,ChatGPT,15,averse,control,1,Exchange-Traded Fund (ETF),Vanguard 500 Index Fund,VOO,3000.0,ETF,,
6,ChatGPT,15,averse,control,1,Bond (Government),iShares Core U.S. Treasury Bond ETF,GOVT,2500.0,ETF,,
7,ChatGPT,15,averse,control,1,Dividend Stock,Johnson & Johnson,JNJ,2000.0,EQUITY,United States,Healthcare
8,ChatGPT,15,averse,control,1,Real Estate Investment Trust (REIT),Vanguard Real Estate Index Fund,VNQ,1500.0,ETF,,
9,ChatGPT,15,averse,control,1,High-Yield Savings Account,n/a,,1000.0,SAVING,,
10,ChatGPT,15,averse,control,2,Exchange-Traded Fund (ETF),Vanguard S&P 500 ETF,VOO,3000.0,ETF,,
11,ChatGPT,15,averse,control,2,Dividend-Paying Stocks,Johnson & Johnson,JNJ,2500.0,EQUITY,United States,Healthcare
12,ChatGPT,15,averse,control,2,Index Fund,Vanguard Total Bond Market ETF,BND,2000.0,ETF,,
13,ChatGPT,15,averse,control,2,High-Yield Savings Account,Your Local Bank,,2500.0,SAVING,,
14,ChatGPT,15,averse,control,3,Stock (Technology),Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
15,ChatGPT,15,averse,control,3,Bond (Government),Treasury Bond,,2000.0,BOND,,
16,ChatGPT,15,averse,control,3,Index Fund (S&P 500),Vanguard S&P 500 Index Fund,VFINX,3000.0,MUTUALFUND,,
17,ChatGPT,15,averse,control,3,ETF (Dividend Stocks),Vanguard Dividend Appreciation ETF,VIG,2000.0,ETF,,
18,ChatGPT,15,averse,control,4,Stock,Apple Inc.,AAPL,3000.0,EQUITY,United States,Technology
19,ChatGPT,15,averse,control,4,Stock,Microsoft Corp.,MSFT,2500.0,EQUITY,United States,Technology
